;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
5680; CERISE Summit Sud-Est +24mm plateau (le kg) ; 4.00;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5681; CERISE Summit Sud-Est +26mm plateau (le kg) ; 4.24;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5682; CERISE Summit Sud-Est +28mm plateau (le kg) ; 4.80;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5683; CERISE Summit Sud-Est +30mm plateau (le kg) ; 5.80;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5684; CERISE Burlat Sud-Ouest cat.I +24mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.67
5685; CERISE Burlat Sud-Ouest cat.I +26mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.00
5686; CERISE rouge Sud-Ouest cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.50
5687; CERISE rouge Sud-Ouest cat.I +26mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.50
5688; CERISE rouge Rhône-Alpes cat.I +24mm plateau (le kg) ; 2.98; 3.28;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5689; CERISE rouge Rhône-Alpes cat.I +26mm plateau (le kg) ; 3.73; 4.03;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5690; CERISE rouge Rhône-Alpes cat.I +28mm plateau (le kg) ; 4.57; 4.76;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5691; CERISE Burlat Alsace cat.I +24mm plateau (le kg) ; 3.83;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5692; CERISE Burlat Alsace cat.I +26mm plateau (le kg) ; 3.98;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5693; CERISE rouge Alsace cat.I +26mm plateau (le kg) ; 3.63; 3.64;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5694; CERISE rouge Alsace cat.I +28mm plateau (le kg) ; 4.29; 4.39;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5695; CERISE Burlat Roussillon cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.40
5696; CERISE Burlat Roussillon cat.I +26mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.70
5697; CERISE rouge Roussillon cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.14
5698; CERISE rouge Roussillon cat.I +26mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.80
5699; CERISE rouge Roussillon cat.I +28mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.38
5700; CERISE Burlat Méditerranée biologique (le kg) ; 6.10;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 11.07
5701; CERISE rouge Méditerranée biologique (le kg) ; 7.73;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.56
5702; CERISE Burlat Sud-Est cat.I +22mm barq. (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.52
5703; CERISE Burlat Sud-Est cat.I +24mm barq. (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.71
5704; CERISE Burlat Sud-Est cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.49
5705; CERISE Burlat Sud-Est cat.I +26mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.90
5706; CERISE Burlat Sud-Est cat.I +28mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.00
