;Produit;Prix moyen;Variation;Prix min;Prix max
127; KIWI Hayward France cat.I  95-105g(30 fruits) plateau 1rg ;3.80; =; 3.10; 4.50
128; KIWI Hayward France biologique ;4.08; +0.34; 3.36; 4.97
129; KIWI Hayward U.E. cat.I  85-95g(33 fruits) plateau ;2.55; -0.05; 2.30; 2.78
130; KIWI Hayward France cat.I 105-115g(27 fruits) colis ;3.50; +0.10; 3.20; 3.80
131; KIWI Hayward France cat.I  95-105g(30 fruits) colis ;3.00; +0.30; 2.90; 3.20
132; KIWI Hayward France cat.I  95-105g(30 fruits) plateau 1rg ;3.30; =; 3.00; 3.60
133; KIWI Hayward Grèce cat.I  85-95g(33 fruits) ;1.60; =; 1.50; 1.70
134; KIWI Hayward Grèce cat.I  95-105g(30 fruits) ;1.70; =; 1.60; 1.80
135; KIWI Gold U.E. biologique ;6.63; =;  ;  
136; KIWI Hayward France biologique ;3.96; +0.21; 3.75; 4.22
137; KIWI Hayward U.E. biologique ;2.51; =;  ;  
138; KIWI Hayward France cat.I (la pièce) ;0.54; =; 0.30; 0.70
139; KIWI vert U.E. cat.I 105-115g - 33 - colis de 92 colis (la pièce) ;0.30; =;  ;  
140; KIWI vert UE (hors Fr.) cat.I ;1.96; =; 1.55; 2.40
141; KIWI Gold Italie cat.I colis 5,6kg (le plateau) ;28.50; =; 26.00; 31.00
142; KIWI Hayward France cat.I colis (les 3kg) ;10.25; =; 9.50; 11.00
143; KIWI Hayward Grèce cat.I colis ;1.60; =; 1.50; 1.70
144; KIWI Hayward Grèce cat.I plateau (les 3kg) ;6.50; =; 6.00; 7.00
145; KIWI Hayward Italie cat.I colis (les 3kg) ;7.50; =; 7.00; 8.00
146; KIWI Hayward Italie cat.I plateau ;1.90; =; 1.80; 2.00
147; KIWI Hayward Italie cat.I 117-128g plateau ;2.20; =;  ;  
148; KIWI Gold Italie cat.I colis 5,6kg (le plateau) ;27.50; -0.50; 26.00; 29.00
149; KIWI Hayward France cat.I colis (les 3kg) ;11.00; +0.50; 10.00; 12.00
150; KIWI Hayward Grèce cat.I ;1.55; =; 1.50; 1.60
151; KIWI Hayward Grèce cat.I colis (les 3kg) ;5.50; +0.50; 5.00; 6.00
152; KIWI Hayward Italie cat.I cal.inconnu colis ;1.80; +0.05; 1.70; 1.90
153; KIWI Hayward Italie cat.I colis (les 3kg) ;7.00; +0.50; 6.00; 8.00
154; KIWI Hayward France biologique ;5.22; -0.06; 4.10; 5.99
155; KIWI Hayward France biologique vendu à la pièce (la pièce) ;0.61; =; 0.49; 0.70
156; KIWI Hayward U.E. biologique ;6.12; -0.38; 4.50; 7.99
