;Produit;Prix moyen;Variation;Prix min;Prix max
1444; AUBERGINE Espagne cat.I ;1.00; =; 0.90; 1.10
1445; AUBERGINE Pays-Bas cat.I ;1.10; =; 0.90; 1.20
1446; AUBERGINE longue-violette U.E. biologique ;1.95; -0.27; 1.65; 2.56
1447; AUBERGINE longue-violette Espagne cat.I 6-8cm plateau ;1.29; =; 1.00; 1.70
1448; AUBERGINE Espagne cat.I ;1.00; =; 0.75; 1.20
1449; AUBERGINE demi-ronde Italie cat.I ;1.80; =;  ;  
1450; AUBERGINE longue-violette U.E. biologique ;3.69; -0.09; 2.99; 5.95
1451; AUBERGINE violette hors Fr. biologique ;3.99; -0.29; 2.99; 5.98
1452; AUBERGINE violette hors Fr. biologique cdt 2 (le cdt 2) ;2.39; -0.09; 1.99; 3.49
1453; AUBERGINE violette hors Fr. vrac ;2.38; -0.04; 1.99; 2.99
1454; DATTE Deglet-nour sèche Import branche 5kg ;5.80; =; 5.50; 6.82
1455; DATTE Medjool sèche Israël branche ;13.00; +1.00;  ;  
1456; DATTE Medjool sèche Import ;12.50; =; 11.50; 14.50
1457; DATTE sèche Algérie branche ;5.50; =; 4.70; 6.00
1458; DATTE Deglet-nour sèche Algérie branche ;5.80; =; 4.50; 6.00
1459; DATTE Medjool sèche Israël ;11.00; =; 10.00; 12.00
1460; ORANGE Espagne biologique cat.I 3-4 ;1.20; -0.10; 0.95; 1.70
1461; ORANGE Espagne cat.I 2(84-96mm) ;0.70; =; 0.60; 0.90
1462; ORANGE Espagne cat.I 3(81-92mm) ;0.70; =; 0.60; 0.75
1463; ORANGE Espagne cat.I 4(77-88mm) ;0.65; =; 0.55; 0.70
1464; ORANGE haut de gamme Espagne cat.I 2(84-96mm) ;1.15; =; 1.00; 1.30
1465; ORANGE haut de gamme Espagne cat.I 3(81-92mm) ;1.10; =; 0.95; 1.20
1466; ORANGE haut de gamme Espagne cat.I 4(77-88mm) ;1.00; =; 0.90; 1.20
1467; ORANGE Naveline Espagne cat.I 5-6 girsac 2kg ;0.70; =; 0.60; 0.90
1468; ORANGE Maltaise demi-sanguine Tunisie ; ;  ;  ;  
1469; ORANGE Maltaise demi-sanguine Tunisie cat.I 5(73-84mm) colis de 75 ;1.05;  ; 0.95; 1.15
1470; ORANGE Maltaise demi-sanguine Tunisie cat.I 6(70-80mm) colis de 88 ;0.93;  ; 0.90; 0.95
1471; ORANGE Maltaise demi-sanguine Tunisie cat.I 7(67-76mm) colis de 100 ;0.75;  ; 0.70; 0.80
1472; ORANGE Maltaise demi-sanguine Tunisie cat.I 8(64-73mm) colis de 108 ;0.60;  ; 0.55; 0.65
1473; ORANGE Amère U.E. biologique ;1.80; =; 1.55; 2.24
1474; ORANGE U.E. biologique ;1.38; +0.03; 1.00; 2.10
1475; ORANGE Lane late Espagne biologique cat.II 4(77-88mm) ;1.40; =;  ;  
1476; ORANGE Maltaise demi-sanguine Tunisie cat.I 5(73-84mm) colis de 75 ;1.45; =;  ;  
1477; ORANGE Maltaise demi-sanguine Tunisie cat.I 6(70-80mm) colis de 88 ;1.22; +0.02; 1.20; 1.30
1478; ORANGE Maltaise demi-sanguine Tunisie cat.I 7(67-76mm) colis de 100 ;0.97; +0.02; 0.95; 1.00
1479; ORANGE Maltaise demi-sanguine Tunisie cat.I 8(64-73mm) colis de 108 ;0.80; -0.05; 0.75; 0.90
1480; ORANGE Navel Powell Espagne cat.I 3(81-92mm) ;0.95; =; 0.90; 1.00
1481; ORANGE Navel Powell Espagne cat.I 4(77-88mm) ;0.85; =; 0.85; 0.90
1482; ORANGE Navel Powell Espagne cat.I 5(73-84mm) ;0.80; +0.05; 0.75; 0.85
1483; ORANGE New Hall Italie biologique cat.II 4(77-88mm) ;1.45; +0.15;  ;  
1484; ORANGE Maltaise demi-sanguine Tunisie cat.I 5(73-84mm) ;1.55; -0.10; 1.45; 1.60
1485; ORANGE Maltaise demi-sanguine Tunisie cat.I 6(70-80mm) colis de 88 ;1.45; +0.05;  ;  
1486; ORANGE Maltaise demi-sanguine Tunisie cat.I 8(64-73mm) ;0.85; =;  ;  
1487; ORANGE Naveline de marque Espagne cat.I 4(77-88mm) ;1.55; +0.15; 1.45; 1.65
1488; ORANGE Sanguinelli Espagne cat.I 6(70-80mm) ;1.80; =; 1.60; 2.10
1489; ORANGE haut de gamme Espagne cat.I 2(84-96mm) ;1.70; =;  ;  
1490; ORANGE Lane late Espagne cat.I 3(81-92mm) caisse ;0.95; -0.05; 0.85; 1.10
1491; ORANGE Lane late Portugal cat.I 2(84-96mm) caisse ;1.15; -0.05; 0.90; 1.30
1492; ORANGE Sanguinelli Espagne cat.I 6(70-80mm) caisse ;1.70; +0.25;  ;  
1493; ORANGE Lane late de marque Espagne cat.I 3(81-92mm) ;1.45; -0.05; 1.30; 1.60
1494; ORANGE Lane late Espagne cat.I 3(81-92mm) ;0.90; =; 0.90; 1.00
1495; ORANGE Maltaise demi-sanguine Tunisie cat.I 5(73-84mm) colis de 75 ;1.40; +0.05; 1.40; 1.50
1496; ORANGE Maltaise demi-sanguine Tunisie cat.I 6(70-80mm) colis de 88 ;1.10; -0.05; 0.80; 1.10
1497; ORANGE Maltaise demi-sanguine Tunisie cat.I 7(67-76mm) colis de 100 ;0.90; -0.05; 0.60; 1.00
1498; ORANGE Maltaise demi-sanguine Tunisie cat.I 8(64-73mm) colis de 108 ;0.70; -0.05; 0.40; 0.80
1499; ORANGE New Hall Portugal cat.I 2(84-96mm) carton ;1.35; -0.05; 1.10; 1.50
1500; ORANGE Sanguinelli Espagne cat.I 5(73-84mm) ;1.80; +0.05;  ;  
1501; ORANGE Amère Espagne cat.I tout-calibre ;1.35; =; 1.25; 1.40
1502; ORANGE Lane late Espagne cat.I 3(81-92mm) ;1.40; =;  ;  
1503; ORANGE Lane late Espagne cat.I 4(77-88mm) ;1.10; =;  ;  
1504; ORANGE Maltaise demi-sanguine Tunisie cat.I 5(73-84mm) colis de 75 ;1.60; =; 1.50; 1.80
1505; ORANGE Maltaise demi-sanguine Tunisie cat.I 6(70-80mm) colis de 88 ;1.50; =; 1.35; 1.60
1506; ORANGE Maltaise demi-sanguine Tunisie cat.I 7(67-76mm) colis de 100 ;1.20; =; 1.15; 1.25
1507; ORANGE Maltaise demi-sanguine Tunisie cat.I 8(64-73mm) colis de 108 ;0.95; =; 0.90; 1.00
1508; ORANGE Navel late Espagne cat.I 3(81-92mm) ;1.80; =; 1.70; 1.80
1509; ORANGE Navel late Espagne cat.I 4(77-88mm) ;1.40; =; 1.20; 1.60
1510; ORANGE New Hall Portugal cat.I 3(81-92mm) ;1.30; =; 1.10; 1.50
1511; ORANGE New Hall Portugal cat.I 4(77-88mm) ;1.00; =; 0.95; 1.10
1512; ORANGE Salustiana Espagne cat.I 4(77-88mm) ;1.40; =; 1.35; 1.45
1513; ORANGE Sanguinelli Espagne cat.I 7(67-76mm) caisse vrac ;1.90; =; 1.70; 2.10
1514; ORANGE Washington sanguine Maroc cat.I 5(73-84mm) caisse vrac ;1.15; =; 1.10; 1.25
1515; ORANGE Washington sanguine Maroc cat.I 6(70-80mm) caisse vrac ;1.10; =; 1.00; 1.15
1516; ORANGE Washington sanguine Maroc cat.I 7(67-76mm) caisse vrac ;0.95; =; 0.90; 1.00
1517; ORANGE U.E. biologique ;1.44; +0.07; 1.10; 2.10
1518; ORANGE Maltaise sanguine Import cat.I 5-6 carton ;1.80; =; 1.50; 1.90
1519; ORANGE Naveline Import cat.I 3-4 carton ;1.70; =; 1.20; 1.80
1520; ORANGE Sanguinelli U.E. cat.I 5-6 carton ;2.10; =; 2.00; 2.20
1521; ORANGE Lane late Espagne cat.I 2(84-96mm) colis 10kg ;1.10; =; 1.00; 1.30
1522; ORANGE Lane late Espagne cat.I 3(81-92mm) colis 10kg ;0.95; =; 0.85; 1.10
1523; ORANGE Maltaise demi-sanguine Tunisie cat.I 6(70-80mm) ;1.35; =; 1.25; 1.60
1524; ORANGE Maltaise demi-sanguine Tunisie cat.I 7(67-76mm) ;1.05; =; 1.00; 1.30
1525; ORANGE Maltaise demi-sanguine Tunisie cat.I 8(64-73mm) ;0.85; =; 0.75; 1.00
1526; ORANGE Sanguinelli Espagne cat.I 6(70-80mm) ;1.80; =; 1.60; 2.00
1527; ORANGE Tarocco Italie cat.I 6(70-80mm) ;1.40; =;  ;  
1528; ORANGE Washington sanguine Maroc cat.I 5(73-84mm) ;1.00; =; 0.90; 1.10
1529; ORANGE Amère U.E. biologique ;1.62; -0.03;  ;  
1530; ORANGE U.E. biologique ;1.20; -0.01; 1.00; 1.40
1531; ORANGE Maltaise demi-sanguine Tunisie cat.I 5(73-84mm) colis de 108 ;2.08; =; 1.85; 2.45
1532; ORANGE Naveline Espagne cat.I 2(84-96mm) ;1.37; =; 0.75; 2.15
1533; ORANGE Maltaise demi-sanguine Tunisie cat.I 5(73-84mm) ;1.60; =; 1.55; 1.80
1534; ORANGE Portugal cat.I 4(77-88mm) ;1.10; =; 1.00; 1.20
1535; ORANGE Sanguinelli Espagne cat.I 6(70-80mm) colis 10kg ;1.90; =; 1.90; 1.90
1536; ORANGE Valencia late Italie cat.I 6(70-80mm) ;1.40; =;  ;  
1537; ORANGE U.E. biologique ;2.01; -0.07; 1.25; 3.30
1538; ORANGE hors Fr. biologique ;2.24; -0.01; 1.50; 2.95
1539; ORANGE hors Fr. biologique cdt 4 (le cdt 4) ;2.10; =; 1.69; 2.50
1540; ORANGE hors Fr. vrac ;2.00; -0.03; 1.49; 2.79
1541; SHII-TAKE France biologique ;10.94; -0.43; 8.92; 13.80
1542; SHII-TAKE U.E. coupé cat.I moyen plateau ;9.50; =;  ;  
1543; SHII-TAKE France plateau ;8.70; =; 8.50; 8.90
1544; SHII-TAKE France biologique ;10.58; -1.60; 8.92; 12.78
1545; SHII-TAKE France cat.I plateau ;8.00; =; 7.50; 8.50
1546; SHII-TAKE France biologique ;10.96; =; 9.52; 11.80
1547; POIS à écosser Roussillon ;8.00; =;  ;  
1548; POIS à écosser U.E. biologique ;6.47; -0.12; 5.89; 7.57
1549; POIS à écosser Espagne cat.I ;4.30; +0.05; 3.80; 5.00
1550; POIS à écosser France cat.I ;10.00; =;  ;  
1551; POIS Gourmand Espagne cat.I ;6.09; +0.39;  ;  
1552; POIS Gourmand France cat.I ;10.00; =;  ;  
1553; POIS à écosser Espagne cat.I ;5.00; =;  ;  
1554; POIS à écosser Espagne cat.I ;5.50; =; 4.40; 5.80
1555; POIS à écosser U.E. biologique ;6.20;  ;  ;  
1556; POIS à écosser U.E. cat.I ;4.70; +0.15; 4.30; 5.50
1557; POIS à écosser Espagne cat.I ;4.80; =; 4.50; 5.00
1558; POIS à écosser U.E. biologique ;6.43; +0.19;  ;  
1559; CHAYOTTE Costa-Rica ;1.70; =; 1.60; 1.80
1560; MANGUE Osteen Espagne biologique (les 4kg) ;9.00; +1.40;  ;  
1561; MANGUE Import biologique ;4.98; +0.21; 2.19; 8.90
1562; MANGUE Kent Pérou avion ;6.00; =; 5.80; 6.50
1563; MANGUE Import avion ;6.50; =; 5.50; 8.14
1564; MANGUE Kent Pérou avion ;6.50; -0.10; 6.00; 7.00
1565; MANGUE Import avion carton ;6.00; =; 5.80; 6.50
1566; MANGUE Kent Pérou bateau colis 4kg ;1.80; =;  ;  
1567; MANGUE Import avion ;6.30; =; 5.90; 7.30
1568; MANGUE Import bateau colis de 10 (la pièce) ;1.25; =; 1.20; 1.30
1569; MANGUE Import biologique ;2.46; +0.15; 2.23; 2.84
1570; MANGUE Import avion plateau ;6.90; +0.05; 6.00; 7.90
1571; MANGUE Kent Pérou avion ;5.80; =; 5.50; 6.50
1572; MANGUE Kent Pérou bateau ;2.30; =; 2.00; 2.50
1573; MANGUE Import biologique ;5.88; +0.32; 2.19; 7.80
1574; MANGUE Amérique du sud vendu à la pièce (la pièce) ;0.99; =; 0.70; 1.30
1575; MANGUE Import avion ;5.95; =; 5.95; 7.00
1576; MANGUE Import bateau ;2.25; =; 2.00; 3.25
1577; GRIOTTE Alsace cat.I plateau ;5.10; =; 5.10; 5.10
1578; AVOCAT Hass Espagne biologique cat.I (les 4kg) ;20.05; -0.30; 18.00; 21.70
1579; AVOCAT Hass Espagne cat.I colis de 18 (les 18 pièces) ;15.00; =;  ;  
1580; AVOCAT Hass Espagne cat.I colis de 20 (les 20 pièces) ;14.00; =;  ;  
1581; AVOCAT Hass U.E. biologique colis 4kg ;5.36; +0.30; 3.95; 6.60
1582; AVOCAT Hass Espagne colis de 18 (les 18 pièces) ;19.00; =; 17.00; 22.00
1583; AVOCAT Hass Espagne colis de 20 (les 20 pièces) ;19.00; =; 17.00; 22.00
1584; AVOCAT Hass Espagne colis de 22 (les 22 pièces) ;17.00; =; 16.00; 21.00
1585; AVOCAT Hass Espagne cat.I colis de 18-20 ;21.60; +0.60; 20.50; 22.80
1586; AVOCAT Hass Espagne cat.I colis de 16 (les 16 pièces) ;20.00; =; 20.00; 20.00
1587; AVOCAT Hass Espagne cat.I colis de 20 ;19.00; =; 19.00; 19.00
1588; AVOCAT Hass Espagne cat.I colis de 18 ;18.00; -0.50; 18.00; 18.50
1589; AVOCAT Hass Espagne cat.I colis de 20 ;18.50; =; 18.00; 18.50
1590; AVOCAT Hass Espagne colis de 18 (les 18 pièces) ;20.00; +1.00; 18.50; 21.50
1591; AVOCAT Hass Espagne colis de 18 (les 18 pièces) ;22.00; +0.50; 21.00; 23.00
1592; AVOCAT Hass Espagne colis de 20 (les 20 pièces) ;21.50; +0.50; 20.00; 23.00
1593; AVOCAT Hass Espagne colis de 22 (les 22 pièces) ;20.50; =; 20.00; 22.00
1594; AVOCAT Hass U.E. biologique colis 4kg ;6.27; +0.60; 6.14; 6.39
1595; AVOCAT Hass Import cat.I colis de 18-20 ;22.20; =; 21.00; 24.00
1596; AVOCAT Hass Espagne colis de 16 (les 16 pièces) ;20.00; =; 19.00; 21.00
1597; AVOCAT Hass Espagne colis de 20 (les 20 pièces) ;19.00; =; 18.00; 20.00
1598; AVOCAT tropical Brésil ;3.50; =; 3.30; 3.60
1599; AVOCAT Hass U.E. biologique colis 4kg ;4.63; +0.24; 4.50; 5.00
1600; AVOCAT Hass Amérique centrale cat.I colis de 22 (la pièce) ;1.20; =; 0.85; 1.50
1601; AVOCAT Hass Espagne colis de 18 (les 18 pièces) ;19.00; =; 18.80; 21.00
1602; AVOCAT Hass Espagne colis de 20 (les 20 pièces) ;20.00; =; 15.00; 20.50
1603; AVOCAT Hass U.E. biologique vendu à la pièce (la pièce) ;1.75; +0.04; 1.19; 2.50
1604; AVOCAT hors Fr. biologique (la pièce) ;1.55; +0.06; 1.00; 2.00
1605; AVOCAT hors Fr. filet (la pièce) ;0.87; +0.02; 0.73; 1.00
1606; AVOCAT hors Fr. vrac (la pièce) ;1.42; +0.01; 1.10; 1.79
1607; ÉCHALION France cat.I 30-50mm filet 5kg ;0.55; +0.09; 0.40; 0.75
1608; ÉCHALION France filet 5kg ;1.35; =; 1.10; 1.56
1609; ÉCHALION France cat.I 30-50mm filet 5kg ;1.40; =; 1.15; 1.60
1610; ÉCHALION France 30-50mm filet 5kg ;1.00; -0.10; 0.75; 1.50
1611; ÉCHALION France cat.I 50-60mm ;1.05; =; 1.00; 1.10
1612; ÉCHALION France cat.I 30-50mm plateau ;0.95; =; 0.85; 1.00
1613; ORTANIQUE Espagne cat.I 1-X ;1.30; =;  ;  
1614; SOJA France ;1.00; =; 0.95; 1.05
1615; POIVRON jaune Espagne biologique cat.I ;4.55;  ;  ;  
1616; POIVRON rouge Espagne biologique cat.I ;4.60; +0.25; 3.80; 5.15
1617; POIVRON vert Espagne biologique cat.I ;3.45; -0.20; 3.20; 3.90
1618; POIVRON jaune carré Espagne cat.I 90-110mm ;4.00; +0.10; 3.80; 4.00
1619; POIVRON rouge carré Espagne cat.I 90-110mm ;5.20; +0.70; 4.50; 5.50
1620; POIVRON vert carré Espagne cat.I 90-110mm ;2.20; +0.20; 1.80; 2.40
1621; POIVRON vert long Maroc cat.I 50-70mm ;1.10; +0.10; 1.00; 1.20
1622; POIVRON U.E. biologique moyen ;4.03; +0.19; 2.75; 6.25
1623; POIVRON Corne de boeuf Maroc cat.I moyen ;1.30; +0.10; 1.00; 1.40
1624; POIVRON rouge carré Espagne cat.I gros ;4.00; +0.20; 3.50; 4.90
1625; POIVRON vert carré Belgique cat.I gros ;2.20; +0.10; 2.00; 2.50
1626; POIVRON vert carré Espagne cat.I gros ;2.00; +0.10; 1.80; 2.50
1627; POIVRON rouge carré Espagne cat.I gros ;3.00; +0.80; 2.60; 3.30
1628; POIVRON vert carré Espagne cat.I plateau ;2.25; +0.05; 1.90; 2.80
1629; POIVRON jaune carré Espagne cat.I 90-110mm ;4.50; +0.25;  ;  
1630; POIVRON rouge carré Espagne cat.I 90-110mm ;4.30; +0.90; 3.20; 5.00
1631; POIVRON vert carré Espagne cat.I 60-80mm plateau 1rg ;2.60; +0.30; 2.50; 2.80
1632; POIVRON jaune carré Espagne cat.I moyen ;4.00; +0.90; 3.90; 4.40
1633; POIVRON rouge carré Espagne cat.I gros ;4.00; +1.20; 3.50; 4.30
1634; POIVRON vert carré Espagne cat.I moyen ;2.50; =; 2.30; 2.50
1635; POIVRON rouge Espagne cat.I gros ;2.60; +0.40; 2.20; 2.80
1636; POIVRON vert Espagne cat.I gros ;2.25; +0.05; 2.00; 2.50
1637; POIVRON rouge carré Espagne cat.I gros ;4.30; =; 3.80; 4.50
1638; POIVRON vert carré Espagne cat.I gros ;2.40; -0.30; 2.20; 2.60
1639; POIVRON vert carré France cat.I gros ;2.90;  ;  ;  
1640; POIVRON U.E. biologique moyen ;4.47; +0.50; 3.16; 5.96
1641; POIVRON rouge carré U.E. cat.I gros ;2.80; +0.45; 2.40; 3.30
1642; POIVRON vert carré U.E. cat.I gros ;2.60; +0.25; 2.40; 2.80
1643; POIVRON rouge carré Espagne cat.I gros ;4.20; =; 4.00; 4.50
1644; POIVRON vert carré Espagne cat.I gros ;2.20; =; 2.00; 2.40
1645; POIVRON vert carré Pays-Bas cat.I gros ;2.00; =;  ;  
1646; POIVRON U.E. biologique moyen ;3.11; -0.08; 2.75; 3.48
1647; POIVRON jaune carré Espagne cat.I gros ;4.53; =; 2.70; 6.00
1648; POIVRON jaune carré Pays-Bas cat.I gros ;4.00; =; 2.60; 4.90
1649; POIVRON rouge carré Espagne cat.I gros ;2.83; =; 1.50; 4.50
1650; POIVRON vert carré Espagne cat.I gros ;1.95; =; 1.20; 2.90
1651; POIVRON jaune carré Espagne cat.I gros ;3.80; =; 3.40; 3.90
1652; POIVRON rouge carré Espagne cat.I gros ;2.80; =; 2.60; 3.80
1653; POIVRON vert carré Espagne cat.I gros ;1.80; =; 1.50; 2.60
1654; POIVRON vert carré Espagne cat.I gros ;2.20; =;  ;  
1655; POIVRON U.E. biologique moyen ;5.24; +0.10; 4.29; 6.15
1656; POIVRON hors Fr. biologique ;5.48; -0.27; 4.99; 6.99
1657; POIVRON hors Fr. biologique cdt 2 (le cdt 2) ;2.47; +0.05; 2.00; 2.99
1658; POIVRON hors Fr. vrac ;3.80; +0.35; 2.99; 4.59
1659; CHICORÉE frisée Roussillon colis de 6 (les 6 pièces) ;7.50; =;  ;  
1660; CHICORÉE Scarole Roussillon colis de 6 (les 6 pièces) ;7.50; =;  ;  
1661; CHICORÉE frisée Sud-Est (la pièce) ;1.20; =;  ;  
1662; CHICORÉE Scarole Roussillon cat.I colis de 8 (la pièce) ;1.25; =;  ;  
1663; CHICORÉE frisée France biologique (la pièce) ;1.10; +0.05;  ;  
1664; CHICORÉE Scarole France biologique (la pièce) ;1.29; +0.24; 1.10; 1.48
1665; CHICORÉE frisée France biologique (la pièce) ;1.44; -0.02; 1.35; 1.53
1666; CHICORÉE Scarole France biologique (la pièce) ;1.39; -0.14; 1.25; 1.53
1667; CHICORÉE frisée Espagne cat.I colis de 10 (la pièce) ;1.70; =; 1.60; 1.80
1668; CHICORÉE Rouge de Trévise Italie cat.I ;2.00; =; 1.90; 2.40
1669; CHICORÉE Scarole Espagne cat.I colis de 10 (la pièce) ;1.70; =; 1.60; 1.80
1670; CHICORÉE frisée Espagne cat.I (la pièce) ;1.90; +0.10; 1.75; 1.99
1671; CHICORÉE frisée France cat.I (la pièce) ;1.60; =; 1.50; 1.80
1672; CHICORÉE Rouge de Trévise Italie cat.I ;2.95; +0.05; 2.30; 3.55
1673; CHICORÉE Scarole Espagne cat.I (la pièce) ;1.85; +0.10; 1.60; 1.99
1674; CHICORÉE Scarole France cat.I (la pièce) ;1.60; =; 1.50; 1.80
1675; CHICORÉE frisée Espagne cat.I (la pièce) ;1.70; =;  ;  
1676; CHICORÉE Scarole Espagne cat.I (la pièce) ;1.70; =;  ;  
1677; CHICORÉE frisée France cat.I colis de 8 (la pièce) ;1.88; =; 1.80; 1.90
1678; CHICORÉE Scarole France cat.I colis de 8 (la pièce) ;1.88; =; 1.80; 1.90
1679; CHICORÉE frisée France biologique (la pièce) ;1.53; -0.04;  ;  
1680; CHICORÉE Scarole France biologique (la pièce) ;1.53; =;  ;  
1681; CHICORÉE Rouge de Trévise Italie colis de 6 ;2.40; +0.25; 2.40; 2.50
1682; CHICORÉE frisée Espagne cat.I colis de 8 (les 8 pièces) ;11.00; =; 10.50; 12.00
1683; CHICORÉE Scarole Espagne cat.I colis de 8 (les 8 pièces) ;11.00; =; 10.50; 12.00
1684; CHICORÉE frisée France biologique (la pièce) ;1.38; -0.01;  ;  
1685; CHICORÉE Scarole France biologique (la pièce) ;1.25; -0.20;  ;  
1686; CHICORÉE frisée France cat.I colis de 8 (la pièce) ;2.02; =; 1.85; 2.20
1687; CHICORÉE Scarole France cat.I colis de 8 (la pièce) ;2.13; =; 1.85; 2.45
1688; CHICORÉE frisée France biologique (la pièce) ;1.46; -0.18;  ;  
1689; CHICORÉE Scarole France biologique (la pièce) ;1.46; -0.09;  ;  
1690; CHICORÉE frisée France cat.I colis de 8 (la pièce) ;1.75; =; 1.70; 1.80
1691; CHICORÉE Scarole France cat.I colis de 8 (la pièce) ;1.75; =; 1.70; 1.80
1692; CHICORÉE frisée France (la pièce) ;2.61; -0.04; 2.20; 2.99
1693; CHICORÉE frisée hors Fr. (la pièce) ;2.74; +0.04; 2.29; 2.99
1694; MANIOC Costa-Rica ;1.30; =; 1.20; 1.40
1695; GROSEILLE rouge Pays-Bas barq.125g ;16.80; =; 16.00; 17.60
1696; GROSEILLE rouge Pays-Bas barq.125g ;17.60; +2.30; 16.00; 18.60
1697; BANANE Guadeloupe cat.I bateau conteneur ;0.70; =;  ;  
1698; BANANE Guadeloupe extra bateau conteneur ;0.81; =;  ;  
1699; BANANE Martinique cat.I bateau conteneur ;0.70; =;  ;  
1700; BANANE Martinique extra bateau conteneur ;0.81; =;  ;  
1701; BANANE Afrique biologique cat.I ;1.50;  ; 1.45; 1.60
1702; BANANE Cameroun bateau en palette ; ;  ;  ;  
1703; BANANE Côte d'Ivoire bateau en palette ; ;  ;  ;  
1704; BANANE Côte d'Ivoire biologique bateau en palette ; ;  ;  ;  
1705; BANANE Ghana bateau en palette ; ;  ;  ;  
1706; BANANE Ghana biologique bateau en palette ; ;  ;  ;  
1707; BANANE Import biologique ;1.38; -0.01; 1.10; 1.79
1708; BANANE Afrique biologique cat.I ;1.20; =; 1.10; 1.25
1709; BANANE Afrique cat.I ;0.95; =; 0.90; 0.95
1710; BANANE Afrique extra ;1.00; =; 0.95; 1.05
1711; BANANE Amérique du sud extra ;0.95; =; 0.90; 0.99
1712; BANANE DOM extra ;1.20; =;  ;  
1713; BANANE Afrique cat.I ;1.15; =; 0.97; 1.39
1714; BANANE DOM cat.I ;1.25; =; 1.20; 1.35
1715; BANANE Afrique cat.I carton ;1.10;  ;  ;  
1716; BANANE DOM extra ;1.25; -0.05;  ;  
1717; BANANE Import cat.I colis 18kg ;1.05; +0.05; 1.00; 1.10
1718; BANANE Afrique extra ;1.05; =; 1.00; 1.10
1719; BANANE Afrique cat.I ;0.96; =; 0.95; 0.98
1720; BANANE Amérique extra ;1.03; =; 0.95; 1.05
1721; BANANE DOM cat.I ;1.06; =; 1.05; 1.10
1722; BANANE DOM extra ;1.27; =; 1.20; 1.35
1723; BANANE Import biologique ;1.31; =; 1.10; 1.45
1724; BANANE Import cat.I ;1.25; =; 1.20; 1.35
1725; BANANE Afrique extra ;1.00; =; 0.95; 1.05
1726; BANANE Amérique centrale extra ;1.00; =; 0.95; 1.05
1727; BANANE DOM extra ;1.15; =; 1.10; 1.20
1728; BANANE Frécinette Colombie cat.I avion carton ;6.80; =; 6.50; 7.00
1729; BANANE Frécinette Equateur cat.I bateau conteneur carton ;2.40; =;  ;  
1730; BANANE Plantain Colombie cat.I bateau conteneur carton ;1.00; =; 0.95; 1.10
1731; BANANE Import biologique ;1.32; =; 1.25; 1.45
1732; BANANE Afrique cat.I ;1.09; =; 0.95; 1.35
1733; BANANE Afrique extra ;1.05; =; 0.90; 1.10
1734; BANANE DOM extra ;1.15; =; 1.15; 1.25
1735; BANANE Import biologique ;1.99; +0.05; 1.70; 2.52
1736; BANANE Afrique vrac ;1.52; -0.05; 0.99; 1.99
1737; BANANE Amérique vrac ;1.54; +0.04; 0.99; 1.89
1738; BANANE France vrac ;1.70; -0.03; 0.99; 1.99
1739; BANANE hors Fr. biologique ;2.13; +0.02; 1.89; 2.49
1740; ÉCHALOTE longue Bretagne traditionnelle cat.I 35-50mm filet 5kg ;3.05; =; 2.90; 3.50
1741; ÉCHALOTE France biologique ;4.70; +0.04; 3.45; 5.20
1742; ÉCHALOTE longue France traditionnelle cat.I 35-50mm filet 5kg ;3.05; =; 2.50; 3.50
1743; ÉCHALOTE France biologique ;4.97; +0.10; 3.67; 6.54
1744; ÉCHALOTE France cat.I ;3.70; =; 3.50; 3.90
1745; ÉCHALOTE longue France cat.I ;3.80; =; 3.40; 4.35
1746; ÉCHALOTE longue primeur France cat.I 35-50mm ;3.50; =;  ;  
1747; ÉCHALOTE France cat.I ;2.70; =; 2.10; 3.10
1748; ÉCHALOTE demi-long France cat.I ;3.80; +0.30;  ;  
1749; ÉCHALOTE France cat.I ;3.60; =; 3.40; 4.00
1750; ÉCHALOTE France biologique ;5.10; +0.40; 4.31; 5.95
1751; ÉCHALOTE France cat.I filet 5kg ;3.50; =; 2.70; 4.00
1752; ÉCHALOTE France cat.I ;3.60; =; 3.20; 3.80
1753; ÉCHALOTE France biologique ;4.47; -0.17; 3.80; 4.86
1754; ÉCHALOTE France cat.I ;2.45; =; 1.40; 4.15
1755; ÉCHALOTE France cat.I ;3.50; =; 3.50; 3.95
1756; ÉCHALOTE France biologique ;7.48; +0.09; 4.95; 10.40
1757; OSEILLE France botte (les 10 bottes) ;4.50; =; 4.30; 5.00
1758; TARO Costa-Rica ;2.50; =; 2.40; 2.80
1759; POMELOS rouge Espagne ;1.40; =;  ;  
1760; POMELOS Star-Ruby Espagne biologique ;1.60; =; 1.45; 1.70
1761; POMELOS Star-Ruby Espagne cat.I ;1.10; =; 1.05; 1.20
1762; POMELOS rose Corse biologique ;2.60; -0.11; 1.75; 3.21
1763; POMELOS rouge U.E. biologique ;1.89; +0.04; 1.60; 2.63
1764; POMELOS rouge Espagne biologique ;1.85; +0.05;  ;  
1765; POMELOS rouge Espagne colis de 40 (les 40 pièces) ;15.50; =; 13.50; 17.00
1766; POMELOS rouge Espagne colis de 45 (les 45 pièces) ;15.00; =; 13.00; 16.00
1767; POMELOS rose Floride colis de 40-48 (les 40-48 pièces) ;38.50; =;  ;  
1768; POMELOS rouge Espagne colis de 45 (les 45 pièces) ;22.95; +0.45; 20.25; 24.30
1769; POMELOS rouge Israël colis de 45 (les 45 pièces) ;25.55; +2.92;  ;  
