;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
3686;MIN de Rungis : fruits et légumes 1; CLÉMENTINE Oronules Espagne cat.I 3 (le kg) ;  ;  ;  ;  ;  ;  ; 1.62; 1.10;  ;  ;  ;  
3687;MIN de Rungis : fruits et légumes 1; CLÉMENTINE Oronules Espagne extra 1 colis 10kg (le kg) ;  ;  ;  ;  ;  ;  ; 1.85; 1.90;  ;  ;  ;  
3688;MIN de Rungis : fruits et légumes 1; CLÉMENTINE Oronules Espagne extra 2 colis 10kg (le kg) ;  ;  ;  ;  ;  ;  ; 1.75; 1.80;  ;  ;  ;  
3689;MIN de Rungis : fruits et légumes 2; CLÉMENTINE Clémenvilla Uruguay cat.I (le kg) ;  ;  ; 2.20; 2.15;  ;  ;  ;  ;  ;  ;  ;  
3690;MIN de Rungis : fruits et légumes 2; CLÉMENTINE Or autre pays étr. cat.I 1-X (le kg) ;  ;  ;  ;  ;  ; 2.15;  ;  ;  ;  ;  ;  
3691;MIN de Rungis : fruits et légumes bio; CLÉMENTINE Corse feuille biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.26; 4.15; 4.32;  ;  
3692;MIN de Rungis : fruits et légumes bio; CLÉMENTINE U.E. biologique (le kg) ; 2.21;  ;  ;  ;  ;  ; 2.74; 1.89; 1.68; 1.82; 2.03; 2.08
3693;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Clémenvilla Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.85; 1.96;  
3694;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Corse feuille cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 4.08; 3.93; 3.64; 3.73;  ;  
3695;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ; 2.51; 1.95; 1.20; 1.05; 1.16;  ;  
3696;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Espagne cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 2.63;  ;  ;  ;  ;  ;  
3697;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Espagne feuille cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 1.52; 1.56; 1.53; 1.50; 1.70; 1.55
3698;MIN de Strasbourg : fruits et légumes; CLÉMENTINE haut de gamme Espagne cat.I (le kg) ;  ;  ;  ;  ;  ;  ; 2.89; 2.42; 2.14; 2.39; 2.57; 2.61
3699;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Nadorcot Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 2.15; 1.78; 1.34; 1.60; 1.73; 1.99
3700;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Nules Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.25; 1.42;  ;  
3701;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Or Espagne cat.I cal 1-2 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.30; 2.58
3702;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Or Israël cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.57; 2.46;  
3703;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Portugal cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 2.10;  ;  ;  ;  ;  
3704;MIN de Strasbourg : fruits et légumes; CLÉMENTINE Portugal feuille cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 2.12; 2.20;  ;  ;  ;  
3705;MIN de Toulouse : fruits et légumes; CLÉMENTINE Berkane Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.40; 1.40;  ;  
3706;MIN de Toulouse : fruits et légumes; CLÉMENTINE Clémenrubi Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 2.70; 2.38;  ;  ;  ;  ;  
3707;MIN de Toulouse : fruits et légumes; CLÉMENTINE Clémenrubi Espagne cat.I 2 colis 10kg (le kg) ;  ;  ;  ;  ;  ;  ; 1.80;  ;  ;  ;  ;  
3708;MIN de Toulouse : fruits et légumes; CLÉMENTINE Clémenvilla Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.30;  ;  
3709;MIN de Toulouse : fruits et légumes; CLÉMENTINE Corse feuille cat.I 3 (le kg) ;  ;  ;  ;  ;  ;  ; 3.60; 3.40; 3.08;  ;  ;  
3710;MIN de Toulouse : fruits et légumes; CLÉMENTINE Corse feuille cat.I 4 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 3.30;  ;  ;  ;  
3711;MIN de Toulouse : fruits et légumes; CLÉMENTINE Nadorcot Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.89; 2.04
3712;MIN de Toulouse : fruits et légumes; CLÉMENTINE Nour Maroc cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.40;  ;  
3713;MIN de Toulouse : fruits et légumes; CLÉMENTINE Nour Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.30;  
3714;MIN de Toulouse : fruits et légumes; CLÉMENTINE Nules Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ; 1.70; 1.54; 1.55; 1.30;  ;  
3715;MIN de Toulouse : fruits et légumes; CLÉMENTINE Nules Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.33; 1.35; 1.20;  ;  
3716;MIN de Toulouse : fruits et légumes; CLÉMENTINE Oronules Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 1.80; 1.80;  ;  ;  ;  
3717;MIN de Toulouse : fruits et légumes; CLÉMENTINE Portugal feuille cat.I 1-X (le kg) ;  ;  ;  ;  ;  ;  ; 1.86; 1.60; 1.35; 1.30; 1.42; 1.45
3718;Bio magasins spécialisés (DRIVE); CLÉMENTINE Corse feuille biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 7.76; 6.38; 6.35;  ;  
3719;Bio magasins spécialisés (DRIVE); CLÉMENTINE U.E. biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.92; 2.83; 3.06; 3.16; 3.27
3720;Fruits France DETAIL GMS; CLÉMENTINE Corse cal 1-2 vrac (le kg) ;  ;  ;  ;  ;  ;  ;  ; 3.85; 3.85;  ;  ;  
3721;Fruits France DETAIL GMS; CLÉMENTINE Corse cal.3-4-5 vrac (le kg) ;  ;  ;  ;  ;  ;  ; 4.29; 4.09; 3.97; 4.50;  ;  
3722;Fruits France DETAIL GMS; CLÉMENTINE Corse cal.inconnu vrac (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.36; 3.94;  ;  ;  
3723;Fruits France DETAIL GMS; CLÉMENTINE Corse cdt (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.08; 3.90; 3.82;  ;  
3724;Fruits France DETAIL GMS; CLÉMENTINE France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 6.77; 6.30; 6.92;  ;  
3725;Fruits France DETAIL GMS; CLÉMENTINE hors Fr. biologique (le kg) ;  ;  ;  ;  ;  ;  ; 4.55; 4.07; 3.67; 3.79;  ;  
3726;Fruits France DETAIL GMS; CLÉMENTINE hors Fr. vrac (le kg) ;  ;  ;  ;  ;  ;  ; 2.73; 2.28; 2.08; 2.28;  ;  
3727;Marché de Lyon-Corbas carreau : fruits et légumes; NAVET jaune Rhône-Alpes (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.72; 1.70; 1.68; 1.60; 1.80
3728;Marché de Lyon-Corbas carreau : fruits et légumes; NAVET long-blanc Rhône-Alpes (le kg) ;  ;  ;  ;  ;  ; 1.50; 1.58; 1.59; 1.60; 1.60; 1.60; 1.70
3729;Marché de Lyon-Corbas carreau : fruits et légumes; NAVET rond violet Rhône-Alpes (le kg) ;  ;  ;  ;  ;  ; 1.55; 1.47; 1.49; 1.42; 1.48; 1.44; 1.46
3730;Marché de Perpignan carreau : fruits et légumes; NAVET rond violet Roussillon (le kg) ; 1.50; 1.50; 1.50; 1.50; 1.50; 1.50; 1.34; 1.30; 1.30; 1.30; 1.30; 1.30
3731;Marché de Perpignan carreau : fruits et légumes; NAVET rond violet Roussillon botte (la botte) ; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00
3732;Marché de producteurs de Vivy : fruits et légumes; NAVET rond blanc Val de Loire avec fane cat.I botte (la botte) ;  ;  ;  ; 0.77;  ; 0.83; 0.77; 0.76; 0.77; 0.78; 0.80; 0.80
3733;Marché de producteurs de Vivy : fruits et légumes; NAVET rond violet Val de Loire cat.I plateau (le kg) ;  ;  ;  ;  ; 0.78; 0.70; 0.75; 0.78; 0.75; 0.83; 0.92; 1.00
3734;MIN d'Agen carreau : fruits et légumes; NAVET jaune Sud-Ouest (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.40; 1.43; 1.40
3735;MIN d'Agen carreau : fruits et légumes; NAVET long-blanc Sud-Ouest (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.23; 1.18; 1.10;  
3736;MIN d'Agen carreau : fruits et légumes; NAVET rond violet Sud-Ouest (le kg) ;  ;  ; 1.00; 1.00;  ;  ; 1.35; 1.32; 1.27; 1.25; 1.30; 1.30
3737;MIN d'Agen carreau : fruits et légumes; NAVET rond violet Sud-Ouest botte (les 12 bottes) ;  ;  ;  ;  ;  ;  ; 11.35; 11.00; 11.50;  ;  ;  
3738;MIN de Cavaillon carreau : fruits et légumes; NAVET long-blanc Sud-Est plateau (le kg) ; 1.00; 1.07; 1.20; 1.20;  ; 1.20; 1.20; 1.20; 1.20; 1.20; 1.20; 1.20
3739;MIN de Cavaillon carreau : fruits et légumes; NAVET rond violet Sud-Est plateau (le kg) ; 1.00; 1.20; 1.60; 1.60;  ;  ; 1.00; 1.00; 1.00; 1.00; 1.00; 1.00
3740;Bassin Centre-Ouest : fruits et légumes; NAVET rond blanc Centre-Ouest botte (la botte) ; 0.78; 0.86; 0.85;  ;  ;  ;  ;  ;  ;  ;  ; 0.90
3741;Bassin Manche : légumes; NAVET rond violet Manche carton 5kg (le kg) ; 1.35;  ; 1.50; 1.06; 0.96; 0.95; 1.25; 1.25; 1.12; 1.09; 1.09; 1.05
3742;Bassin Manche : légumes; NAVET rond violet Manche sac 10kg (le kg) ;  ;  ; 1.33; 0.98; 0.88; 0.85; 1.10; 1.11; 1.01; 0.95; 0.95; 0.92
3743;Bassin nantais : légumes; NAVET aplati primeur Pays de la Loire plateau 5kg (le kg) ; 1.57; 1.55;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.32
3744;Bassin nantais : légumes; NAVET Pays de la Loire botte (la botte) ; 1.05;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.20
3745;Bassin Nord-Picardie : fruits et légumes; NAVET Nord sac 10kg (le kg) ; 1.33;  ;  ;  ; 1.00; 1.02; 1.12; 1.10; 0.92; 1.06; 1.16; 1.18
3746;Bassins Sud-Est et Roussillon : fruits et légumes bio; NAVET rond violet Méditerranée biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.78;  ;  
3747;France : fruits et légumes bio - expédition; NAVET France avec fane biologique (la botte) ; 1.67; 1.60;  ;  ;  ;  ;  ; 1.60; 1.55;  ; 1.21; 1.47
3748;France : fruits et légumes bio - expédition; NAVET jaune France biologique (le kg) ;  ;  ;  ;  ;  ;  ; 2.06; 1.72; 1.73; 1.88; 1.78; 1.85
3749;France : fruits et légumes bio - expédition; NAVET rond violet France biologique (le kg) ; 2.25; 2.52; 2.29; 2.09; 2.55; 2.11; 1.80; 1.70; 1.55; 1.68; 1.61; 1.72
3750;Marché de St-Charles : fruits et légumes - import; NAVET Espagne cat.I (le kg) ; 0.83;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
3751;France : fruits et légumes bio - grossistes; NAVET France avec fane biologique (la botte) ; 1.94; 2.01; 2.42; 2.31;  ;  ; 2.04; 2.01; 2.19; 2.27; 1.80; 1.89
3752;France : fruits et légumes bio - grossistes; NAVET jaune France biologique (le kg) ; 2.38;  ; 2.72; 2.65; 2.72; 2.24; 2.34; 2.29; 2.16; 2.21; 2.18; 2.19
3753;France : fruits et légumes bio - grossistes; NAVET rond violet France biologique (le kg) ; 2.34; 2.89; 2.98; 2.69; 2.44; 2.35; 2.10; 2.01; 1.92; 1.96; 1.97; 1.98
3754;Marché de Lyon-Corbas : fruits et légumes; NAVET long-blanc Espagne (le kg) ; 1.05; 1.20;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
3755;Marché de Lyon-Corbas : fruits et légumes; NAVET long-blanc France (le kg) ; 1.34; 1.36; 1.37; 1.31; 1.34; 1.35; 1.30; 1.34; 1.29; 1.30; 1.35; 1.36
3756;Marché de Lyon-Corbas : fruits et légumes; NAVET rond violet France (le kg) ; 1.85; 1.91; 1.86; 1.59; 1.52; 1.40; 1.57; 1.55; 1.39; 1.39; 1.41; 1.35
3757;MIN d'Avignon-Cavaillon : fruits et légumes; NAVET long-blanc Espagne (le kg) ;  ; 1.30;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
3758;MIN d'Avignon-Cavaillon : fruits et légumes; NAVET long-blanc France (le kg) ; 1.54; 1.55; 1.59; 1.60; 1.56; 1.64; 1.60; 1.55; 1.56; 1.59; 1.50; 1.51
3759;MIN d'Avignon-Cavaillon : fruits et légumes; NAVET rond violet France (le kg) ; 1.85; 1.93; 2.12; 2.14; 1.96; 1.75; 1.87; 1.77; 1.59; 1.60; 1.60; 1.56
3760;MIN d'Avignon-Cavaillon : fruits et légumes; NAVET rond violet primeur Espagne sac 10kg (le kg) ;  ; 1.51;  ;  ;  ;  ;  ; 1.60;  ;  ;  ;  
3761;MIN de Bordeaux-Brienne : fruits et légumes; NAVET jaune France plateau (le kg) ;  ;  ;  ;  ;  ; 1.75; 1.85; 1.80; 1.85; 1.89; 1.88; 1.95
3762;MIN de Bordeaux-Brienne : fruits et légumes; NAVET rond violet France (le kg) ;  ;  ;  ; 1.51; 1.48; 1.47; 1.61; 1.60; 1.47; 1.43; 1.46; 1.54
3763;MIN de Bordeaux-Brienne : fruits et légumes; NAVET rond violet primeur France (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.00
3764;MIN de Lomme-Lille : fruits et légumes; NAVET rond France (le kg) ;  ;  ;  ;  ;  ; 1.05; 1.18; 1.20; 1.20; 1.05; 1.10; 1.12
3765;MIN de Lomme-Lille : fruits et légumes; NAVET rond primeur Nantes (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.80
3766;MIN de Marseille : fruits et légumes; NAVET long-blanc France (le kg) ;  ;  ; 1.65; 1.61; 1.57; 1.56; 1.50; 1.40; 1.34; 1.36; 1.30; 1.32
3767;MIN de Marseille : fruits et légumes; NAVET rond violet France (le kg) ;  ;  ; 2.00; 1.96; 1.90; 1.80; 1.58; 1.45; 1.22; 1.27; 1.26; 1.32
3768;MIN de Nantes : fruits et légumes; NAVET jaune France cagette (le kg) ;  ;  ;  ;  ; 2.03; 1.80; 1.64; 1.55; 1.54; 1.53; 1.55; 1.66
3769;MIN de Nantes : fruits et légumes; NAVET primeur Val de Loire cagette (le kg) ; 1.81; 1.90; 1.90;  ;  ;  ;  ;  ;  ;  ;  ; 1.60
3770;MIN de Nantes : fruits et légumes; NAVET rond violet Manche filet 5kg (le kg) ; 1.35;  ; 1.93; 1.26; 1.20; 1.16; 1.56; 1.45; 1.30; 1.34; 1.25; 1.25
3771;MIN de Nantes : fruits et légumes; NAVET Val de Loire botte (la botte) ; 1.25; 1.25; 1.25; 1.25;  ;  ;  ;  ;  ;  ; 1.25; 1.31
3772;MIN de Nantes : fruits et légumes bio; NAVET France avec fane biologique (la botte) ; 1.95;  ;  ;  ;  ;  ; 2.04; 2.02;  ;  ; 1.76; 1.84
3773;MIN de Nantes : fruits et légumes bio; NAVET jaune France biologique (le kg) ;  ;  ;  ;  ; 3.02; 2.23; 2.30; 2.22; 2.12; 2.12; 2.10; 2.17
3774;MIN de Nantes : fruits et légumes bio; NAVET rond violet France biologique (le kg) ; 2.17; 2.83; 2.99; 2.77; 2.31; 2.22; 2.10; 2.00; 1.94; 1.92; 1.92; 2.02
3775;MIN de Nice : fruits et légumes; NAVET long-blanc France (le kg) ; 1.92; 1.96; 1.73; 1.80; 1.80; 1.86; 1.85; 1.88; 1.83; 1.61; 1.57; 1.69
3776;MIN de Nice : fruits et légumes; NAVET rond violet France (le kg) ; 2.01; 2.21; 2.24; 1.99; 2.08; 1.95; 2.06; 1.90; 1.84; 1.82; 1.77; 1.80
3777;MIN de Nice : fruits et légumes; NAVET rond violet U.E. (le kg) ;  ; 1.69; 1.98; 1.43;  ; 1.60; 1.75; 1.80;  ;  ;  ;  
3778;MIN de Rungis : fruits et légumes 1; NAVET rond violet France (le kg) ; 1.40; 1.40;  ; 1.50; 1.41; 1.22; 1.44; 1.60; 1.60; 1.60; 1.60; 1.60
3779;MIN de Rungis : fruits et légumes 1; NAVET rond violet primeur France (le kg) ; 2.20; 2.18; 2.07; 1.58;  ;  ;  ;  ;  ;  ;  ;  
3780;MIN de Rungis : fruits et légumes bio; NAVET France avec fane biologique (la botte) ; 1.92; 1.94; 2.37; 2.34;  ;  ;  ; 2.02; 2.20; 2.25;  ; 1.91
3781;MIN de Rungis : fruits et légumes bio; NAVET jaune France biologique (le kg) ; 2.56;  ; 2.73; 2.57; 2.31; 2.14; 2.19; 2.22; 2.14; 2.19; 2.21; 2.27
3782;MIN de Rungis : fruits et légumes bio; NAVET rond violet France biologique (le kg) ; 1.92; 2.80; 2.82; 2.53; 2.28; 2.19; 1.96; 1.92; 1.90; 1.95; 1.94; 1.92
3783;MIN de Strasbourg : fruits et légumes; NAVET rond blanc France (le kg) ;  ; 2.82; 2.92; 2.33; 2.27; 2.19; 1.93; 1.89; 1.88; 1.88; 1.88; 1.88
3784;MIN de Strasbourg : fruits et légumes; NAVET rond violet France (le kg) ;  ; 2.88; 2.92; 2.33; 2.40; 2.39; 2.01; 1.89; 1.90; 1.97; 1.97; 1.97
3785;MIN de Strasbourg : fruits et légumes bio; NAVET jaune France biologique (le kg) ;  ;  ;  ;  ;  ;  ; 2.38; 2.39; 2.09; 1.98; 1.94; 1.88
3786;MIN de Strasbourg : fruits et légumes bio; NAVET rond violet France biologique (le kg) ;  ;  ;  ;  ;  ;  ; 2.03; 1.64; 1.70; 1.57; 1.57; 1.69
3787;MIN de Toulouse : fruits et légumes; NAVET jaune France cat.I (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.80; 1.79; 1.80; 1.74; 1.82
3788;MIN de Toulouse : fruits et légumes; NAVET rond violet France (le kg) ;  ;  ;  ;  ;  ; 1.39; 1.63; 1.68; 1.60; 1.56; 1.50; 1.50
3789;MIN de Toulouse : fruits et légumes; NAVET rond violet primeur France (le kg) ; 2.09; 2.03; 2.00; 1.40;  ;  ;  ;  ;  ;  ;  ; 1.80
3790;Bio magasins spécialisés (DRIVE); NAVET rond violet France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 3.51; 3.36; 3.39; 3.27; 3.17
3791;Marché de Perpignan carreau : fruits et légumes; GROSEILLE rouge Roussillon (le kg) ;  ;  ; 12.00; 12.00; 12.00; 12.00;  ;  ;  ;  ;  ;  
3792;MIN d'Agen carreau : fruits et légumes; GROSEILLE rouge Sud-Ouest barq.125g (le kg) ;  ;  ; 17.00; 17.00;  ;  ;  ;  ;  ;  ;  ;  
3793;Marché de Lyon-Corbas : fruits et légumes; GROSEILLE rouge Chili barq.125g (le kg) ;  ; 21.38;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
3794;Marché de Lyon-Corbas : fruits et légumes; GROSEILLE rouge France barq.125g (le kg) ;  ;  ; 17.07; 12.42; 11.43; 12.18; 12.00;  ;  ;  ;  ;  
3795;Marché de Lyon-Corbas : fruits et légumes; GROSEILLE rouge Pays-Bas barq.125g (le kg) ; 21.04; 20.23; 18.64; 13.22; 12.04; 12.73; 12.04; 12.00; 12.91; 12.32; 12.28; 14.61
3796;MIN de Bordeaux-Brienne : fruits et légumes; GROSEILLE rouge France barq.125g (le kg) ;  ;  ;  ; 21.66; 16.00;  ;  ;  ;  ;  ;  ;  
3797;MIN de Bordeaux-Brienne : fruits et légumes; GROSEILLE U.E. cat.I barq.125g (le kg) ;  ;  ;  ;  ;  ; 20.18; 20.00; 19.20;  ;  ;  ;  
3798;MIN de Nantes : fruits et légumes; GROSEILLE rouge France barq.125g (le kg) ; 39.00; 38.82; 26.86; 14.82; 14.06; 14.24;  ;  ;  ;  ;  ;  
3799;MIN de Nice : fruits et légumes; GROSEILLE rouge France cat.I barq.125g (le kg) ;  ;  ; 19.60; 19.60;  ;  ;  ;  ;  ;  ;  ;  
3800;MIN de Nice : fruits et légumes; GROSEILLE rouge U.E. cat.I barq.125g (le kg) ; 32.00;  ;  ; 21.59; 17.75; 20.38; 19.69; 20.20;  ;  ;  ;  
3801;MIN de Rungis : fruits et légumes 2; GROSEILLE rouge France barq.125g (le kg) ;  ;  ;  ; 13.00; 12.00;  ;  ;  ;  ;  ;  ;  
3802;MIN de Rungis : fruits et légumes 2; GROSEILLE rouge Pays-Bas barq.125g (le kg) ;  ; 23.00; 18.80; 12.97; 12.80; 12.80; 12.27; 12.20; 13.44; 12.27; 14.22; 15.06
3803;Cadran de Barfleur : légumes; PERSIL frisé Manche colis 5kg (le kg) ;  ;  ;  ;  ; 1.37; 0.97; 0.58; 0.49; 0.59; 0.63; 0.66; 0.61
3804;Marché de Lyon-Corbas carreau : fruits et légumes; PERSIL frisé Rhône-Alpes botte (la botte) ;  ;  ;  ; 0.50; 0.50; 0.50; 0.50; 0.56; 0.60;  ;  ;  
3805;Marché de Lyon-Corbas carreau : fruits et légumes; PERSIL frisé Rhône-Alpes plateau (le kg) ;  ;  ; 2.20;  ; 2.24; 2.27; 2.27; 2.30; 2.12; 2.11; 2.24; 2.00
3806;Marché de Lyon-Corbas carreau : fruits et légumes; PERSIL simple Rhône-Alpes plateau (le kg) ;  ;  ;  ; 2.00; 2.19; 2.00; 2.00; 2.00; 2.00; 2.00; 2.00;  
3807;Marché de Perpignan carreau : fruits et légumes; PERSIL frisé Roussillon botte (la botte) ; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50
3808;Marché de Perpignan carreau : fruits et légumes; PERSIL simple Roussillon botte (la botte) ; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50; 0.50
3809;Bassin Manche : légumes; PERSIL frisé Manche colis 5kg (les 5kg) ;  ;  ;  ;  ;  ;  ; 4.58; 4.11; 4.80; 4.93; 5.25;  
3810;Bassins Sud-Est et Roussillon : fruits et légumes bio; PERSIL frisé Méditerranée biologique (la botte) ; 0.80; 0.83; 0.90;  ;  ;  ;  ; 0.77; 0.78; 0.85; 0.85; 0.90
3811;Bassins Sud-Est et Roussillon : fruits et légumes bio; PERSIL simple Méditerranée biologique (la botte) ; 0.90; 1.08; 1.11; 0.82; 1.10; 1.10;  ; 0.89; 0.82; 0.89; 0.93; 0.93
3812;France : fruits et légumes bio - expédition; PERSIL France biologique (la botte) ; 0.80; 0.92; 0.95; 0.88; 0.89; 0.90; 0.84; 0.81; 0.80; 0.89; 0.92; 0.92
3813;France : fruits et légumes bio - grossistes; PERSIL France biologique (la botte) ; 1.09; 1.12; 1.08; 1.08; 1.05; 1.05; 1.04; 1.04; 1.04; 1.08; 1.10; 1.10
3814;Marché de Bologne : fruits et légumes; PERSIL frisé Italie botte (le kg) ; 1.43; 1.40; 1.48; 1.50; 1.50; 1.50; 1.50; 1.50; 1.50; 1.62; 1.50; 1.50
3815;Marché de Lyon-Corbas : fruits et légumes; PERSIL frisé France (le kg) ;  ; 2.50; 2.54; 2.42; 2.25; 2.34; 2.13; 1.87; 1.65; 1.75; 1.85; 2.10
3816;Marché de Lyon-Corbas : fruits et légumes; PERSIL frisé Italie (le kg) ; 3.12; 2.36; 2.52;  ; 1.80; 2.00; 2.00;  ;  ; 1.84; 1.93; 1.91
3817;Marché de Lyon-Corbas : fruits et légumes; PERSIL simple Italie (le kg) ; 1.98; 1.97; 1.98; 1.94; 1.93; 2.07; 2.00; 1.90; 1.78; 1.93; 2.00; 1.95
3818;MIN d'Avignon-Cavaillon : fruits et légumes; PERSIL frisé France botte (la botte) ;  ; 0.67; 0.70; 0.70; 0.70; 0.70; 0.70; 0.70; 0.70; 0.70; 0.70; 0.70
3819;MIN de Bordeaux-Brienne : fruits et légumes; PERSIL simple France botte (la botte) ;  ;  ;  ; 0.69; 0.68; 0.66; 0.63; 0.74; 0.68; 0.65; 0.71; 0.65
3820;MIN de Bordeaux-Brienne : fruits et légumes; PERSIL simple U.E. (la botte) ;  ;  ;  ; 0.61; 0.63; 0.60; 0.61; 0.64; 0.60; 0.69; 0.70; 0.64
3821;MIN de Lomme-Lille : fruits et légumes; PERSIL frisé France (la botte) ;  ;  ;  ;  ;  ; 0.65; 0.60; 0.57; 0.60; 0.60; 0.65; 0.68
3822;MIN de Marseille : fruits et légumes; PERSIL simple France (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.98
3823;MIN de Marseille : fruits et légumes; PERSIL simple France botte (le kg) ;  ;  ; 1.70; 1.75; 1.95; 1.90; 1.94; 2.00;  ; 2.07; 2.05;  
3824;MIN de Nantes : fruits et légumes; PERSIL France (la botte) ; 0.74; 0.75; 0.75; 0.75; 0.75; 0.75; 0.75; 0.75; 0.75; 0.75; 0.75; 0.75
3825;MIN de Nantes : fruits et légumes; PERSIL frisé France (le kg) ;  ;  ; 2.35; 2.29; 2.24; 2.27; 2.16; 2.00; 2.21; 2.31; 2.42; 2.46
3826;MIN de Nantes : fruits et légumes bio; PERSIL France biologique (la botte) ; 1.06; 1.09; 1.08; 1.08; 1.06; 1.05; 1.00; 1.00; 1.01; 1.03; 1.02; 1.04
3827;MIN de Rungis : fruits et légumes 1; PERSIL frisé France (le kg) ;  ;  ; 3.00; 2.80; 2.11; 2.15; 2.20; 2.15; 2.00; 2.00; 2.03; 2.00
3828;MIN de Rungis : fruits et légumes 1; PERSIL frisé Italie (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.00
3829;MIN de Rungis : fruits et légumes 1; PERSIL frisé U.E. (le kg) ; 3.80; 3.13;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
3830;MIN de Rungis : fruits et légumes 2; PERSIL frisé France botte (les 10 bottes) ;  ;  ; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00
3831;MIN de Rungis : fruits et légumes 2; PERSIL frisé Import botte (les 10 bottes) ;  ; 4.20; 4.20; 4.20; 4.20; 4.20; 4.20; 3.67; 3.50; 3.50; 3.50; 3.50
3832;MIN de Rungis : fruits et légumes 2; PERSIL frisé Italie botte (les 10 bottes) ;  ;  ; 3.50; 3.50; 3.50; 3.50; 3.50; 3.50;  ;  ;  ;  
3833;MIN de Rungis : fruits et légumes 2; PERSIL simple France botte (le kg) ;  ;  ;  ; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00; 4.00
