;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
2231;MIN de Rungis : fruits et légumes 2; PATATE DOUCE Egypte (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.20; 1.00; 1.20
2232;MIN de Rungis : fruits et légumes 2; PATATE DOUCE Espagne (le kg) ;  ;  ;  ;  ;  ; 1.45; 1.30; 1.25; 1.20; 1.43; 1.50; 1.50
2233;MIN de Rungis : fruits et légumes 2; PATATE DOUCE Import grosse (le kg) ;  ; 1.80; 1.76; 1.70; 1.50; 1.40; 1.10; 1.10; 1.34;  ; 1.70; 1.80
2234;MIN de Rungis : fruits et légumes bio; PATATE DOUCE France biologique (le kg) ;  ;  ;  ;  ;  ; 3.27; 2.95; 2.67; 2.40; 2.58; 2.69; 2.80
2235;MIN de Rungis : fruits et légumes bio; PATATE DOUCE Import biologique (le kg) ;  ; 2.93; 2.94; 3.05;  ;  ;  ;  ;  ;  ;  ;  
2236;MIN de Rungis : fruits et légumes bio; PATATE DOUCE U.E. biologique (le kg) ; 2.89; 3.20; 3.16; 3.03; 2.90; 1.84; 1.69; 1.66; 1.58; 1.64; 1.97; 2.07
2237;MIN de Strasbourg : fruits et légumes; PATATE DOUCE France moyenne (le kg) ;  ;  ;  ;  ;  ;  ; 1.59; 1.83; 1.85;  ;  ;  
2238;MIN de Strasbourg : fruits et légumes; PATATE DOUCE Import grosse (le kg) ;  ; 2.02; 2.17; 2.18; 2.19; 1.87; 1.44; 1.41; 1.56; 1.64; 1.66; 1.82
2239;MIN de Strasbourg : fruits et légumes bio; PATATE DOUCE France biologique (le kg) ;  ;  ;  ;  ;  ;  ; 2.87; 2.83; 2.96; 2.55; 2.80;  
2240;MIN de Toulouse : fruits et légumes; PATATE DOUCE Import moyenne (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.20; 1.30; 1.35; 1.40;  
2241;MIN de Toulouse : fruits et légumes; PATATE DOUCE longue Espagne plateau (le kg) ;  ;  ;  ;  ;  ; 1.32; 1.28; 1.20; 1.12; 1.29; 1.43; 1.45
2242;Bio magasins spécialisés (DRIVE); PATATE DOUCE France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.45; 4.25; 4.43; 4.41; 4.48
2243;Marché de Perpignan carreau : fruits et légumes; GRENADE (le kg) ;  ;  ;  ;  ;  ; 1.80; 1.80;  ;  ;  ;  ;  
2244;Bassins Sud-Est et Roussillon : fruits et légumes bio; GRENADE Méditerranée biologique (le kg) ;  ;  ;  ;  ;  ;  ; 4.22; 3.64;  ;  ;  ;  
2245;France : fruits et légumes bio - import; GRENADE Espagne biologique (le kg) ;  ;  ;  ;  ;  ; 2.91; 2.11; 1.96; 2.03; 2.38;  ;  
2246;Marché de St-Charles : fruits et légumes - import; GRENADE Espagne cat.I +12 pièces (le kg) ;  ;  ;  ;  ;  ; 1.16; 1.02; 1.04; 1.17; 1.25;  ;  
2247;Marché de St-Charles : fruits et légumes - import; GRENADE Espagne cat.I +15 pièces (le kg) ;  ;  ;  ;  ;  ; 0.98; 0.87; 0.81; 0.95;  ;  ;  
2248;France : fruits et légumes bio - grossistes; GRENADE France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.85; 4.76;  ;  ;  
2249;France : fruits et légumes bio - grossistes; GRENADE Import biologique (le kg) ; 4.77; 4.76; 4.65; 4.50; 4.50; 4.54;  ;  ;  ;  ;  ;  
2250;France : fruits et légumes bio - grossistes; GRENADE U.E. biologique (le kg) ; 4.83;  ;  ;  ;  ; 3.73; 2.92; 2.58; 2.64; 2.60; 2.46;  
2251;MIN de Lomme-Lille : fruits et légumes; GRENADE Méditerranée vendu à la pièce (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.00;  ;  ;  ;  
2252;MIN de Marseille : fruits et légumes; GRENADE Espagne +12 pièces plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.30; 1.44; 1.58;  ;  
2253;MIN de Nantes : fruits et légumes; GRENADE Espagne colis de 15 (le kg) ;  ;  ;  ;  ;  ; 1.54; 1.75; 1.43; 2.33; 2.60;  ;  
2254;MIN de Nantes : fruits et légumes; GRENADE Import (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 2.80; 2.80; 3.18; 3.30
2255;MIN de Nantes : fruits et légumes bio; GRENADE France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.97;  ;  ;  ;  
2256;MIN de Nantes : fruits et légumes bio; GRENADE Import biologique (le kg) ; 4.89; 5.03; 4.74; 4.75; 4.91;  ;  ;  ;  ;  ;  ;  
2257;MIN de Nantes : fruits et légumes bio; GRENADE U.E. biologique (le kg) ;  ;  ;  ;  ;  ; 3.79; 2.86; 2.64; 2.62; 2.52;  ;  
2258;MIN de Nice : fruits et légumes; GRENADE Import (le kg) ;  ;  ;  ;  ;  ; 1.96; 1.65; 1.73; 2.07; 2.92; 3.30; 3.68
2259;MIN de Rungis : fruits et légumes 2; GRENADE Espagne (le kg) ;  ;  ;  ;  ;  ; 2.10; 2.00; 1.50; 1.50; 1.50;  ;  
2260;MIN de Rungis : fruits et légumes 2; GRENADE Import (le kg) ;  ; 3.63; 3.14; 2.35; 2.20; 2.25; 2.30; 2.15; 1.93; 2.40; 2.20; 3.14
2261;MIN de Rungis : fruits et légumes bio; GRENADE France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.47; 4.60;  ;  ;  
2262;MIN de Rungis : fruits et légumes bio; GRENADE Import biologique (le kg) ;  ; 4.68; 4.40; 4.38; 4.02; 4.38;  ;  ;  ;  ;  ;  
2263;MIN de Rungis : fruits et légumes bio; GRENADE U.E. biologique (le kg) ; 5.56;  ;  ;  ;  ; 3.40; 2.91; 2.35; 2.43; 2.44; 2.45;  
2264;MIN de Strasbourg : fruits et légumes; GRENADE Espagne colis de 12 (le kg) ;  ;  ;  ;  ;  ; 1.95; 1.88; 1.72; 1.77; 1.65;  ;  
2265;MIN de Strasbourg : fruits et légumes; GRENADE Turquie (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.93; 2.12
2266;Bio magasins spécialisés (DRIVE); GRENADE U.E. biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.06; 3.76; 4.04; 4.16; 4.92
2267;MIN de Rungis : fruits et légumes 2; SAUGE Import botte (les 10 bottes) ;  ; 5.00; 5.00; 5.00; 5.00; 5.00; 5.00; 5.00; 5.00; 5.00; 5.00; 5.00
2268;MIN d'Agen carreau : fruits et légumes; ÉCHALOTE Cuisse de poulet Sud-Ouest cat.I 35-50mm filet 5kg (le kg) ;  ;  ; 3.30; 3.05; 3.00; 2.76; 2.73; 2.80; 2.87; 2.50; 2.75;  
2269;Bassin Bretagne : fruits et légumes; ÉCHALOTE longue Bretagne traditionnelle cat.I 35-50mm filet 5kg (le kg) ; 0.99; 1.33; 1.40; 1.28;  ; 1.45; 1.45; 1.67; 1.84; 2.37; 2.48; 2.95
2270;Bassin Bretagne : fruits et légumes; ÉCHALOTE primeur Bretagne traditionnelle cat.I filet 5kg (le kg) ;  ;  ;  ; 1.26; 1.38; 1.39;  ;  ;  ;  ;  ;  
2271;France : fruits et légumes bio - expédition; ÉCHALOTE France biologique (le kg) ; 2.24; 2.32; 3.10; 3.28; 2.98; 3.06; 3.36; 3.37; 3.43; 3.81; 4.46; 4.65
